AREA DE SALUD,DEPARTAMENTO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ALTA VERAPAZ,ALTA VERAPAZ," 32,910 "," 32,024 "," 31,024 "," 31,388 "," 30,923 "," 31,030 "," 32,632 "," 35,745 "," 32,925 "," 33,501 "," 33,382 "," 34,986 "," 34,119 "," 33,111 "," 34,605 "," 34,340 "
BAJA VERAPAZ,BAJA VERAPAZ," 8,182 "," 7,881 "," 7,411 "," 7,575 "," 7,563 "," 7,564 "," 7,306 "," 7,500 "," 7,218 "," 7,628 "," 7,760 "," 7,951 "," 7,889 "," 7,941 "," 7,953 "," 8,187 "
CHIMALTENANGO,CHIMALTENANGO," 16,582 "," 16,220 "," 15,761 "," 15,486 "," 15,447 "," 14,846 "," 15,100 "," 15,369 "," 14,482 "," 14,998 "," 15,303 "," 15,868 "," 15,755 "," 15,685 "," 16,042 "," 16,563 "
CHIQUIMULA,CHIQUIMULA," 11,485 "," 11,662 "," 11,001 "," 10,625 "," 11,042 "," 10,544 "," 10,721 "," 10,371 "," 10,181 "," 10,400 "," 10,721 "," 11,488 "," 10,954 "," 10,770 "," 10,967 "," 11,375 "
EL PROGRESO,EL PROGRESO," 4,440 "," 4,009 "," 3,747 "," 3,909 "," 3,640 "," 3,896 "," 3,774 "," 3,819 "," 3,814 "," 3,761 "," 4,092 "," 4,042 "," 4,202 "," 4,238 "," 4,057 "," 4,044 "
ESCUINTLA,ESCUINTLA," 17,206 "," 15,899 "," 14,794 "," 16,482 "," 16,244 "," 15,714 "," 15,253 "," 15,316 "," 14,552 "," 14,342 "," 15,800 "," 16,454 "," 16,401 "," 16,976 "," 16,830 "," 16,266 "
GUATEMALA CENTRAL,GUATEMALA," 42,797 "," 28,090 "," 29,510 "," 27,118 "," 25,362 "," 24,771 "," 23,534 "," 33,792 "," 20,304 "," 20,265 "," 20,476 "," 21,182 "," 21,575 "," 22,253 "," 22,650 "," 22,308 "
GUATEMALA NOR-OCCIDENTE,GUATEMALA," 12,955 "," 14,480 "," 14,931 "," 15,342 "," 15,216 "," 15,199 "," 14,861 "," 10,248 "," 14,360 "," 14,751 "," 15,950 "," 16,707 "," 17,178 "," 17,419 "," 17,667 "," 17,663 "
GUATEMALA NOR-ORIENTE,GUATEMALA," 7,157 "," 6,926 "," 7,196 "," 7,515 "," 8,270 "," 8,588 "," 8,277 "," 7,078 "," 8,702 "," 8,720 "," 9,409 "," 9,663 "," 9,772 "," 9,892 "," 10,173 "," 10,145 "
GUATEMALA SUR,GUATEMALA," 11,577 "," 12,906 "," 13,599 "," 14,539 "," 15,338 "," 15,464 "," 15,427 "," 12,401 "," 15,540 "," 15,285 "," 16,116 "," 16,926 "," 17,395 "," 17,272 "," 16,981 "," 17,076 "
HUEHUETENANGO,HUEHUETENANGO," 35,892 "," 34,801 "," 33,928 "," 34,088 "," 33,376 "," 33,089 "," 34,077 "," 33,560 "," 32,782 "," 36,390 "," 36,713 "," 38,477 "," 37,732 "," 37,843 "," 38,669 "," 38,078 "
IXCÁN,QUICHE," 2,800 "," 2,739 "," 2,656 "," 2,675 "," 2,769 "," 2,676 "," 2,592 "," 2,882 "," 2,747 "," 2,729 "," 2,990 "," 3,054 "," 3,042 "," 3,023 "," 3,053 "," 2,951 "
IXIL,QUICHE," 5,083 "," 4,693 "," 4,235 "," 4,291 "," 4,089 "," 4,155 "," 3,810 "," 3,823 "," 3,836 "," 4,087 "," 4,039 "," 4,171 "," 4,099 "," 4,151 "," 4,112 "," 4,331 "
IZABAL,IZABAL," 12,174 "," 11,727 "," 10,878 "," 10,800 "," 10,400 "," 9,848 "," 10,088 "," 9,382 "," 8,956 "," 9,878 "," 10,137 "," 10,122 "," 10,404 "," 10,140 "," 10,326 "," 9,800 "
JALAPA,JALAPA," 9,487 "," 7,205 "," 4,719 "," 8,909 "," 8,805 "," 8,401 "," 8,901 "," 8,849 "," 8,270 "," 8,548 "," 9,022 "," 9,284 "," 9,556 "," 9,448 "," 9,340 "," 9,303 "
