NOMBRE_EMPRESA,DIRECCION,TELEFONO
M.A.C.O.R.,"19 AVENIDA ""A"" 0-72 ZONA 15, VISTA HERMOSA II",24313487-23690650-59176966
"AMBIENS,S.A.","6ª  CALLE 1-29 Z 1 DE MIXCO,GUATEMALA",2438-5279
"GEOAMBIENTE, SERVICIOS INTEGRALES DE ASESORIA EN ENERGIA, PETROLEO Y MEDIO AMBIENTE",2ª CALLE 23-80 ZONA 15 VISTA HERMOSA II EDIFICIO AVANTE OFICINA 801 GUATEMALA .,22003240     222003232
"EVERLIFE, SOCIEDAD ANONIMA","19 AV. 3-85 APTO.""D"" ZONA 15 VISTA HERMOSA I, GUATEMALA, GUATEMALA",24413145
ECOSISTEMAS PROYECTOS AMBIENTALES S.A.,"20 CALLE ""B"" 13-08 ZONA 2. EL ROBLE GUATEMALA-CIUDAD",22546156 / 22548268
"GEOGRAFIA Y FORESTERIA, S.A.","3ª  CALLE ""A"" 1-48 ZONA 10, GUATEMALA",23347646     23616405
"EQUIPOS, MATERIALES Y SERVICIOS ACUICOLAS (EMASA)",5A. CALLE 2-54 ZONA 1 SAN FRANCO ZAP. SUCHITEPEQUEZ,78720987 / 53440848
CORPORACION EN ASUNTOS AMBIENTALES PARA EL DESARROLLO EMPRESARIAL S.A.,13 AVENIDA 3-96 SECTOR B-3 SAN CRISTOBAL I ZONA 8 DE MIXCO,24430038/2478-4834
"CONSULTORIA Y TECNOLOGIA AMBIENTAL, S.A.","TRONCO I SECTOR E LOTE 14 FINAL ROTONDA EL ENCINAL ZONA 7 DE MIXCO, GUATEMALA.",24318102    24318103  EXT: 102
FERNANDO ANZUETO Y ASOCIADOS,3ª  AVENIDA 13-18 ZONA 9 GUATEMALA GUATEMALA,24928200      23348142
"BIOENLACES, S.A.","8 CALLE 10-16 ZONA 8 RES. JARDINES CASA 8 CID. SAN CRISTOBAL MIXCO, GUATEMALA.",24808529/54822637
CONSULTORES INTEGRADOS,"AVENIDA LA REFORMA 7-62 ZONA 9, EDIF. ARISTOS REFORMA, OF. 401, GUATEMALA.",23828855
"GEOPETROL, S.A.",7 AVENIDA 14-44 ZONA 9 EDIFICIO LA GALERIA PRIMER NIVEL OFICINA 27,23603033-23603043
"MEDICIONES AMBIENTALES, S.A.","32 CALLE ""A"" 0-37 ZONA 3, GUATEMALA-CIUDAD",24408736
"ASESORIA EN GEOLOGIA, PETROLEO Y MEDIO AMBIENTE",5 AVENIDA 15-45 Z. 10 TORRE I OFICINA 208 EDIF. CENTRO EMPRESARIAL,23675902
"DINAMICA BIOAMBIENTAL, S.A.","8ª AVENIDA 4-73 ZONA 15 COLONIA TRINIDAD CONDOMINIO VISTA AL BOSQUE TORRE 4, OFICINA 203,  GUATEMALA",23696077    40096050
"ASESORIA MANUEL BASTERRECHEA ASOCIADOS, S.A.","AV. REFORMA 1-50 Z 9 ED. EL REFORMADOR OFICINA 603, GUATEMALA",23329767-2360-1643/1653    23392332/2333
ECODESA,8 CALLE 25 A-43 QUETZALTENANGO,77636131
GEORECURSOS,"DIAGONAL 6, 13-08 ZONA 10 EDIFICIO. RODRIGUEZ",52055328/23634086
"GEOLOGIA, GEOTERMIA Y PETROLEOS, S.A",7AVENIDA 14-44 ZONA 9 EDIFICIO LA GALERIA 1ER NIVEL OF. 27,23603033/23603043
"EQUIPO DE CONSULTORES DE PROYECTOS DE DESARROLLO ECOLOGICOS SOSTENIBLE, S.A ECODESA","8A CALLE 25 A-43 ZONA 3 QUETZALTENANGO,QUTGO.",77636131
MEDICIONES AMBIENTALES S.A,"32 CALLE ""A"" 0-37 ZONA 3 GUATEMALA CIUDAD",24408736
"GRUPO SIERRA  MADRE INTERNACIONAL, S.A","29 CALLE BOULEVAD SUR, COLONIA SAN CRISTOBAL 8-13 ZONA 8 GUATEMALA",24435874/23683416
CONSULTORIA EN FORMULACION Y EVALUACION DE PROYECTOS,"AVENIDA LA CASTELLANA 9-53 ZONA 9, PRIMER NIVEL.",23394335 EXT. 112 - 23324676
"AMBIENTES INTEGRALES, SOCIEDAD ANONIMA","12 CALLE ""B"" 38-17 ZONA 5, JARDINES DE LA ASUNCION, GUATEMALA",23350853 EXT. 2 Y 4
"ASESORIA EN RECURSOS NATURALES Y CONSTRUCTORA, S.A.","4TA. CALLE 12-20 ZONA 11 COLONIA ROOSEVELT GUATEMALA, GUATEMALA",24752282 / 52059951
"AMBIENTE Y DESARROLLO CONSULTORES, S.A.","DIAGONAL 6, 13-08 ZONA 10 EDIF. RODRIGUEZ OFICINA 313. GUATEMALA, GUATEMALA.",23371760
"SISTEMAS INTEGRALES DE GESTION AMBIENTAL, S.A.","BOULEVARD LOS PRÓCERES, 18 CALLE 24-69, ZONA 10 ZONA PRADERA, TORRE II,  OF. 807",2261-7308 / 09
"INGENIERIA Y PLANIFICACION, S.A.","8ª. CALLE 18-74 ZONA 15, VISTA HERMOSA I, GUATEMALA, GUATEMALA.",23698535   23691394
"ARMADILLO, S.A.","7A. CALLE 2-13 COL. LOMAS DE SAN JACINTO Z 10, MIXCO, GUATEMALA",24350632-52062847
SERVICIOS CARVEL S.A.,"APARTAMENTOS 11 A CONDOMINIO MONTE AZUL, FINAL AVENIDA HINCAPIE ZONA 13 GUATEMALA",23337725
GRUPO SIERRA MADRE INTERNACIONAL S.A.,"3RA. AVENIDA 17-53 ZONA 14 ,GUATEMALA",2381-5830/2381-5831
