AÑO,CODIGO_DEPARTAMENTO,DEPARTAMENTO,CODIGO_MUNICIPIO,MUNICIPIO,NIVEL,SECTOR,INSCRITOS,DOCENTES,RELACION_ALUMNO_DOCENTE
1993,9,Quetzaltenango,10,San Mateo,PRIMARIA DE NIÑOS,OFICIAL,397,0,
2001,8,Totonicapán,7,Santa Lucía La Reforma,PRIMARIA DE NIÑOS,OFICIAL,1439,0,
1995,12,San Marcos,16,Catarina,PRIMARIA DE NIÑOS,PRIVADO,147,0,
2014,21,Jalapa,7,Mataquescuintla,PRIMARIA DE NIÑOS,PRIVADO,309,41,7.536585
1993,7,Sololá,3,Santa María Visitación,PRIMARIA DE NIÑOS,OFICIAL,247,0,
2002,6,Santa Rosa,9,Taxisco,PRIMARIA DE NIÑOS,MUNICIPAL,43,0,
2002,15,Baja Verapaz,6,Santa Cruz El Chol,PRIMARIA DE NIÑOS,OFICIAL,1698,0,
2008,9,Quetzaltenango,17,Colomba Costa Cuca,PRIMARIA DE NIÑOS,PRIVADO,858,35,24.514285
2011,14,Quiché,20,Ixcán,PRIMARIA DE NIÑOS,OFICIAL,19823,687,28.854439
2012,22,Jutiapa,15,Pasaco,PRIMARIA DE NIÑOS,OFICIAL,1475,107,13.785046
2014,9,Quetzaltenango,13,Almolonga,PRIMARIA DE NIÑOS,OFICIAL,1336,62,21.548387
2002,11,Retalhuleu,1,Retalhuleu,PRIMARIA DE NIÑOS,PRIVADO,1665,0,
2001,15,Baja Verapaz,7,San Jerónimo,PRIMARIA DE NIÑOS,PRIVADO,39,0,
2002,16,Alta Verapaz,15,Fray Bartolomé De Las Casas,PRIMARIA DE NIÑOS,PRIVADO,162,0,
2007,3,Sacatepéquez,1,Antigua Guatemala,PRIMARIA DE NIÑOS,OFICIAL,5616,176,31.90909
2013,3,Sacatepéquez,2,Jocotenango,PRIMARIA DE NIÑOS,OFICIAL,1376,66,20.848484
1997,4,Chimaltenango,16,El Tejar,PRIMARIA DE NIÑOS,PRIVADO,97,0,
1998,11,Retalhuleu,6,San Andrés Villa Seca,PRIMARIA DE NIÑOS,PRIVADO,255,0,
1998,22,Jutiapa,9,El Adelanto,PRIMARIA DE NIÑOS,OFICIAL,799,0,
2002,20,Chiquimula,8,Concepción Las Minas,PRIMARIA DE NIÑOS,MUNICIPAL,52,0,
2006,20,Chiquimula,3,San Juan Ermita,PRIMARIA DE NIÑOS,PRIVADO,40,2,20
2004,16,Alta Verapaz,1,Cobán,PRIMARIA DE NIÑOS,PRIVADO,2093,105,19.933333
1998,1,Guatemala,13,Fraijanes,PRIMARIA DE NIÑOS,PRIVADO,228,0,
2007,15,Baja Verapaz,4,Cubulco,PRIMARIA DE NIÑOS,OFICIAL,9672,317,30.511041
1993,7,Sololá,18,San Pedro La Laguna,PRIMARIA DE NIÑOS,OFICIAL,801,0,
2003,13,Huehuetenango,6,San Pedro Necta,PRIMARIA DE NIÑOS,PRIVADO,209,7,29.857142
2006,4,Chimaltenango,8,San Miguel Pochuta,PRIMARIA DE NIÑOS,OFICIAL,1623,53,30.622641
2005,5,Escuintla,6,Tiquisate,PRIMARIA DE NIÑOS,PRIVADO,1007,41,24.560975
2008,11,Retalhuleu,8,Nuevo San Carlos,PRIMARIA DE NIÑOS,PRIVADO,137,7,19.571428
2012,13,Huehuetenango,19,Colotenango,PRIMARIA DE NIÑOS,OFICIAL,6370,226,28.18584
2007,20,Chiquimula,11,Ipala,PRIMARIA DE NIÑOS,OFICIAL,3383,155,21.825806
2007,7,Sololá,16,San Marcos La Laguna,PRIMARIA DE NIÑOS,OFICIAL,499,18,27.722222
2008,6,Santa Rosa,7,San Juan Tecuaco,PRIMARIA DE NIÑOS,MUNICIPAL,18,1,18
2009,15,Baja Verapaz,3,Rabinal,PRIMARIA DE NIÑOS,OFICIAL,8038,301,26.704318
2016,13,Huehuetenango,20,San Sebastián Huehuetenango,PRIMARIA DE NIÑOS,OFICIAL,5645,0,
1997,17,Petén,4,San Andrés,PRIMARIA DE NIÑOS,MUNICIPAL,140,0,
2000,10,Suchitepéquez,1,Mazatenango,PRIMARIA DE NIÑOS,PRIVADO,1967,0,
1999,14,Quiché,12,Joyabaj,PRIMARIA DE NIÑOS,OFICIAL,6636,0,
2012,9,Quetzaltenango,3,Olintepeque,PRIMARIA DE NIÑOS,PRIVADO,248,14,17.714285
2014,10,Suchitepéquez,19,Pueblo Nuevo,PRIMARIA DE NIÑOS,OFICIAL,1592,83,19.180722
2015,4,Chimaltenango,16,El Tejar,PRIMARIA DE NIÑOS,OFICIAL,2770,109,25.412844
1992,16,Alta Verapaz,13,Chisec,PRIMARIA DE NIÑOS,OFICIAL,2624,0,
1994,16,Alta Verapaz,13,Chisec,PRIMARIA DE NIÑOS,OFICIAL,3792,0,
2007,11,Retalhuleu,1,Retalhuleu,PRIMARIA DE NIÑOS,OFICIAL,12221,408,29.953431
2010,17,Petén,4,San Andrés,PRIMARIA DE NIÑOS,PRIVADO,285,10,28.5
2006,22,Jutiapa,5,Asunción Mita,PRIMARIA DE NIÑOS,PRIVADO,582,36,16.166666
1998,9,Quetzaltenango,20,Coatepeque,PRIMARIA DE NIÑOS,OFICIAL,14765,0,
2001,22,Jutiapa,12,Jalpatagua,PRIMARIA DE NIÑOS,PRIVADO,214,0,
2000,5,Escuintla,5,Masagua,PRIMARIA DE NIÑOS,OFICIAL,5466,0,
2004,14,Quiché,8,San Antonio Ilotenango,PRIMARIA DE NIÑOS,OFICIAL,3524,105,33.561904
2015,13,Huehuetenango,5,Nentón,PRIMARIA DE NIÑOS,OFICIAL,6953,264,26.337121
1993,10,Suchitepéquez,9,San Pablo Jocopilas,PRIMARIA DE NIÑOS,OFICIAL,2194,0,
1997,6,Santa Rosa,4,Casillas,PRIMARIA DE NIÑOS,OFICIAL,3085,0,
2001,16,Alta Verapaz,11,Lanquín,PRIMARIA DE NIÑOS,PRIVADO,26,0,
2006,5,Escuintla,10,Iztapa,PRIMARIA DE NIÑOS,PRIVADO,194,9,21.555555
2014,3,Sacatepéquez,6,Santiago Sacatepéquez,PRIMARIA DE NIÑOS,OFICIAL,3878,123,31.528455
1995,3,Sacatepéquez,9,Santa Lucía Milpas Altas,PRIMARIA DE NIÑOS,OFICIAL,1126,0,
1995,9,Quetzaltenango,22,Flores Costa Cuca,PRIMARIA DE NIÑOS,OFICIAL,2623,0,
2010,5,Escuintla,5,Masagua,PRIMARIA DE NIÑOS,PRIVADO,303,22,13.772727
1993,11,Retalhuleu,3,Santa Cruz Muluá,PRIMARIA DE NIÑOS,OFICIAL,1616,0,
1995,11,Retalhuleu,9,El Asintal,PRIMARIA DE NIÑOS,OFICIAL,3891,0,
